id,title,suggested_filename,score
1,肖申克的救赎,,0.0
2,霸王别姬,,0.0
3,阿甘正传,,0.0
4,泰坦尼克号,,0.0
5,千与千寻,,0.0
6,这个杀手不太冷,,0.0
7,辛德勒的名单,,0.0
8,盗梦空间,,0.0
9,星际穿越,,0.0
10,寄生上流,,0.0
11,放牛班的春天,,0.0
12,海上钢琴师,,0.0
13,怦然心动,,0.0
14,疯狂动物城,,0.0
15,当幸福来敲门,,0.0
16,龙猫,,0.0
17,忠犬八公的故事,,0.0
18,大话西游,,0.0
19,美丽心灵,,0.0
20,罗马假日,,0.0
21,天堂电影院,,0.0
22,小妇人,,0.0
23,寻梦环游记,,0.0
24,教父,,0.0
25,蝙蝠侠：黑暗骑士,,0.0
26,指环王：王者归来,,0.0
27,阿凡达,,0.0
28,黑客帝国,,0.0
29,搏击俱乐部,,0.0
30,钢铁侠,,0.0
31,复仇者联盟,,0.0
32,速度与激情,,0.0
33,007：大破天幕杀机,,0.0
34,碟中谍,,0.0
35,飓风营救,,0.0
36,变形金刚,,0.0
37,雷神,,0.0
38,美国队长,,0.0
39,绿巨人浩克,,0.0
40,神奇四侠,,0.0
41,X战警,Bianfuxia.jpg,1.0
42,蜘蛛侠,,0.0
43,超人,,0.0
44,蝙蝠侠,,0.0
45,神奇女侠,,0.0
46,正义联盟,,0.0
47,蚁人,,0.0
48,死侍,,0.0
49,守望者,,0.0
50,浪客剑心,,0.0
51,幽游白书,,0.0
52,海贼王,,0.0
53,火影忍者,,0.0
54,死神,,0.0
55,犬夜叉,,0.0
